Приорбанк Открытое акционерное общество, БИК PJCBBY2X;27.05.2025 16:22:59;
ВЫПИСКА ПО СЧЕТУ BY77PJCB10840216350285030478 С 01.01.2023 ПО 31.12.2023;
Исполнитель**************** 848;
Дата пред. опер.*********** 30.12.2022;
Счет клиента*************** BY77PJCB75972501744773309124 BYN Пассивный;
Наименование счета********* АЛЬФА СИСТЕМС;

Дата док.;N док.;Код опер;Корреспондент.Код;Корреспондент.Счет;Корреспондент.УНП;Корреспондент.Название;Номинал.Дебет;Номинал.Кредит;Назначение;Фактические дата и время мгновенного платежа;
Входящее сальдо  на  01.01.2023;;;;;;;0,00;13 785,75;;
05.01.2023;1371;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;151,00;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/268 ОТ 15.11.2021 ЭЛЕКТРОЭНЕРГИЯ+ВОДОСНАБЖЕНИЕ ЗА НОЯБРЬСТАВКА НДС 20%, СУММА НДС 25.17, ВСЕГО С НДС 151.00;;
05.01.2023;1369;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;165,00;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19Р/267 ОТ 28.06.2021 ЭКСПЛУАТАЦИЯ И МОНИТОРИНГ ЗА НОЯБРЬ 2022СТАВКА НДС 20%, СУММА НДС 27.50, ВСЕГО С НДС 165.00;;
05.01.2023;1367;1;PJCBBY2X;BY77 PJCB1125 6594082517876184;940358777;МЕРИДИАН ГРУПП;200,00;0,00;ЗА УСЛУГИ СВЯЗИ ПО СЧЕТУ СЧР-2023010598889357 ЗА ПЕРИОД 01.12.2022 - 31.12.2022 ПО ДОГОВОРУ ОКАЗАНИЯ УСЛУГ 104372814 ОТ 06.11.2008СТАВКА НДС 20%, СУММА НДС 33.33, ВСЕГО С НДС 200.00;;
05.01.2023;1365;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;202,02;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 90-11/440 ОТ 01.11.21 МОНИТОРИНГСТАВКА НДС 20%, СУММА НДС 33.67, ВСЕГО С НДС 202.02;;
05.01.2023;1375;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;403,00;0,00;ПРЕДОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/268 ОТ 15.11.2021 ОТОПЛЕНИЕ ЗА ДЕКАБРЬ 2022СТАВКА НДС 20%, СУММА НДС 67.17, ВСЕГО С НДС 403.00;;
05.01.2023;1374;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;403,00;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/268 ОТ 15.11.2021 ОТОПЛЕНИЕ ЗА НОЯБРЬ 2022СТАВКА НДС 20%, СУММА НДС 67.17, ВСЕГО С НДС 403.00;;
05.01.2023;1373;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;904,00;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/268 ОТ 15.11.2021 ЭКСПЛУАТАЦИЯ+МОНИТОРИНГ ЗА НОЯБРЬ 2022СТАВКА НДС 20%, СУММА НДС 150.67, ВСЕГО С НДС 904.00;;
05.01.2023;1363;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;1 500,00;0,00;ОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/267 ОТ 28.06.2021 ЗА ДЕКАБРЬ 2022СТАВКА НДС 20%, СУММА НДС 250.00, ВСЕГО С НДС 1500.00;;
05.01.2023;1372;1;AKBBBY2X;BY77 AKBB7799 2445080687706047;812147149;КАМЕННЫЙ МОСТ;1 951,00;0,00;ПРЕДОПЛАТА ПО ДОГОВОРУ АРЕНДЫ 09-19А/268 ОТ 15.11.2021 ЭЛЕКТРОЭНЕРГИЯ+ВОДОСНАБЖЕНИЕ ЗА ДЕКАБРЬСТАВКА НДС 20%, СУММА НДС 325.17, ВСЕГО С НДС 1951.00;;
