Приорбанк Открытое акционерное общество, БИК PJCBBY2X;27.05.2025 16:24:15;
ВЫПИСКА ПО СЧЕТУ BY77PJCB15079786863381112130 С 01.01.2024 ПО 31.12.2024;
Исполнитель**************** 4044;
Дата пред. опер.*********** 29.12.2023;
Счет клиента*************** BY77PJCB75156477590051045225 EUR Пассивный;
Наименование счета********* АЛЬФА СИСТЕМС;

Дата док.;N док.;Код опер;Корреспондент.Код;Корреспондент.Счет;Корреспондент.Название;Номинал.Дебет;Номинал.Кредит;Эквивалент.Дебет;Эквивалент.Кредит;Назначение;
Входящее сальдо  на  29.12.2023;;;EUR;3.5363/1.00;;0,00;8 348,42;0,00;29 522,52;;
04.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;370,67;0,00;Переоценка ;
05.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;130,23;Переоценка ;
08.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;141,09;0,00;Переоценка ;
09.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;36,74;Переоценка ;
10.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;12,52;Переоценка ;
11.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;166,97;0,00;Переоценка ;
12.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;65,12;0,00;Переоценка ;
15.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;96,84;0,00;Переоценка ;
16.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;85,15;0,00;Переоценка ;
17.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;170,31;0,00;Переоценка ;
18.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;141,09;Переоценка ;
19.01.2024;310;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;4 000,00;0,00;13 806,00;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
19.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;0,00;67,62;Переоценка ;
19.01.2024;124;1;EUR;KZ52 836BTB67 71360790;NORTHWIND TRADING;0,00;29 825,00;0,00;102 940,99;PLAVNO LLPBIN220340017991 EKNP1727851101 STR. 49BASTANA KAZAKHSTAN PAYMENT FOR SOFTWARE DEVELOPMENT ACCORDING TO CONTRACT 07-USD-22 DD 03.06.23/INS/IRVTDEFXXXX;
22.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;293,89;0,00;Переоценка ;
22.01.2024;311;1;EUR;BY77 PJCB1078 4589640204848169;КАМЕННЫЙ МОСТ;5 000,00;0,00;17 214,50;0,00;СВОБОДНАЯ ПРОДАЖА ВАЛЮТЫ;
23.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;315,08;0,00;Переоценка ;
24.01.2024;40;126;EUR;BY77 PJCB7706 0306660889953175;ЯНТАРЬ ЛОГИСТИК;0,00;0,00;347,16;0,00;Переоценка ;
